StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Gender,Age,Relationship,Q1_1,Q1_2,Q2_1,Q2_2,Q3_1,Q3_2,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1,Q7_2,Q8_1,Q8_2,Q9_1,Q9_2,Q10_1,Q10_2,Q11_1,Q11_2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How do you describe yourself?,How old are you?,What is your current relationship status?,Would you like to hang out with Alex? - Alex_nd_reject,Would you like to hang out with Alex? - Alex_nd_accept,Would you like to hang out with James? - James_nd_reject,Would you like to hang out with James? - James_nd_accept,Would you like to hang out with Ben? - Ben_nd_reject,Would you like to hang out with Ben? - Ben_nd_accept,Would you like to hang out with Mark? - Mark_nd_reject,Would you like to hang out with Mark? - Mark_nd_accept,Would you like to hang out with Tom? - Tom_nd_reject,Would you like to hang out with Tom? - Tom_nd_accept,Would you like to hang out with Will? - Will_nd_reject,Would you like to hang out with Will? - Will_nd_accept,Would you like to hang out with John? - John_nd_reject,Would you like to hang out with John? - John_nd_accept,Would you like to hang out with Jack? - Jack_nd_reject,Would you like to hang out with Jack? - Jack_nd_accept,Would you like to hang out with Henry? - Henry_nd_reject,Would you like to hang out with Henry? - Henry_nd_accept,Would you like to hang out with Sam? - Sam_nd_reject,Would you like to hang out with Sam? - Sam_nd_accept,Would you like to hang out with Chris? - Chris_nd_reject,Would you like to hang out with Chris? - Chirs_nd_accept
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID26""}","{""ImportId"":""QID25""}","{""ImportId"":""QID24""}","{""ImportId"":""QID20_6""}","{""ImportId"":""QID20_7""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}"
2023-03-07 20:16:40,2023-03-07 20:16:52,Survey Preview,,100,12,True,2023-03-07 20:16:53,R_1dugf5tDhSWmRhE,,,,,42.3268,-71.1341,preview,EN,,,,,,Neutral,Like,,,,,,,,,,,Neutral,Like,,,Like,Neutral,,
2023-03-07 20:18:59,2023-03-07 20:19:22,Survey Preview,,100,22,True,2023-03-07 20:19:23,R_2EhggNupL7vHVBf,,,,,42.3268,-71.1341,preview,EN,,,,,,Neutral,Like,Neutral,Like,Neutral,Like,Like,Neutral,Neutral,Like,Neutral,Like,Neutral,Like,Like,Neutral,Neutral,Like,Neutral,Like
2023-03-07 20:19:20,2023-03-07 20:19:48,Survey Preview,,100,28,True,2023-03-07 20:19:49,R_27DscikWwbjOCzY,,,,,42.1897,-71.2048,preview,EN,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2023-03-07 21:07:26,2023-03-07 21:08:21,Survey Preview,,100,54,True,2023-03-07 21:08:22,R_1BWwGvPoDo3Unxc,,,,,42.3268,-71.1341,preview,EN,,,In a relationship,Neutral,Like,Like,Neutral,Like,Neutral,Neutral,Like,Like,Neutral,Neutral,Like,Neutral,Like,Neutral,Like,Like,Neutral,Like,Neutral,Neutral,Like
2023-03-07 21:38:36,2023-03-07 21:39:53,Survey Preview,,100,77,True,2023-03-07 21:39:54,R_1Qy18EkRRs6oShj,,,,,40.7123,-74.0068,preview,EN,,18-24 years old,Single,Neutral,Like,Like,Neutral,Neutral,Like,Like,Neutral,Like,Neutral,Like,Neutral,Neutral,Like,Like,Neutral,Like,Neutral,Like,Neutral,Like,Neutral
2023-03-08 17:35:11,2023-03-08 17:35:44,Survey Preview,,100,33,True,2023-03-08 17:35:45,R_2YVpvlozfpx9vJ2,,,,,40.7123,-74.0068,preview,EN,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2023-03-08 17:42:59,2023-03-08 17:43:41,IP Address,67.243.131.244,100,41,True,2023-03-08 17:43:41,R_3Gpq56MvvJy2EWG,,,,,40.7123,-74.0068,anonymous,EN,Female,18-24 years old,Single,Like,Neutral,Like,Neutral,Like,Neutral,Neutral,Like,Like,Neutral,Neutral,Like,Neutral,Like,Neutral,Like,Like,Neutral,Like,Neutral,Neutral,Like
2023-03-08 17:47:17,2023-03-08 17:49:24,IP Address,67.243.131.244,100,126,True,2023-03-08 17:49:25,R_3kzyf9yoCtisK9J,,,,,40.7123,-74.0068,anonymous,EN,Female,25-34 years old,Single,Like,Neutral,Neutral,Like,Like,Neutral,Neutral,Like,Like,Neutral,Like,Neutral,Like,Neutral,Neutral,Like,Like,Neutral,Like,Neutral,Like,Neutral
