StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Gender,Age,Relationship,Q1_1,Q1_2,Q2_1,Q2_2,Q3_1,Q3_2,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1,Q7_2,Q8_1,Q8_2,Q9_1,Q9_2,Q10_1,Q10_2,Q11_1,Q11_2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How do you describe yourself? - Selected Choice,How old are you?,What is your current relationship status?,Would you like to hang out with Alex？ - alex_accept,Would you like to hang out with Alex？ - alex_reject,Would you like to hang out with James？ - james_accept,Would you like to hang out with James？ - james_reject,Would you like to hang out with Ben？ - ben_accept,Would you like to hang out with Ben？ - ben_reject,Would you like to hang out with Mark？ - mark_accept,Would you like to hang out with Mark？ - mark_reject,Would you like to hang out with Tom？ - tom_accept,Would you like to hang out with Tom？ - tom_reject,Would you like to hang out with Will？ - will_accept,Would you like to hang out with Will？ - will_reject,Would you like to hang out with John？ - john_accept,Would you like to hang out with John？ - john_reject,Would you like to hang out with Jack？ - jack_accept,Would you like to hang out with Jack？ - jack_reject,Would you like to hang out with Henry？ - henry_accept,Would you like to hang out with Henry？ - henry_reject,Would you like to hang out with Sam？ - sam_accept,Would you like to hang out with Sam？ - sam_reject,Would you like to hang out with Chris？ - chris_accept,Would you like to hang out with Chris？ - chris_reject
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}"
2023/2/28 10:56,2023/2/28 10:56,Survey Preview,,100,10,TRUE,2023/2/28 10:56,R_1DMElZ3GzInVhTN,,,,,42.3464,-71.0975,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,
2023/2/28 11:18,2023/2/28 11:18,Survey Preview,,100,8,TRUE,2023/2/28 11:18,R_3GwaZeWnO3rJFgX,,,,,42.3464,-71.0975,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,
2023/2/28 13:16,2023/2/28 13:16,Survey Preview,,100,2,TRUE,2023/2/28 13:16,R_12fms3C3a60jN69,,,,,42.3464,-71.0975,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,
2023/2/28 17:26,2023/2/28 17:26,Survey Preview,,100,19,TRUE,2023/2/28 17:26,R_1mtw0e8QYyFGHdM,,,,,42.3464,-71.0975,preview,EN,,,,Like,Neutral,,,,,,,,,,,,,,,,,,,,
2023/2/28 17:29,2023/2/28 17:29,Survey Preview,,100,8,TRUE,2023/2/28 17:29,R_2aRmFACYpPPOlX5,,,,,42.3464,-71.0975,preview,EN,,,,Like,Neutral,,,,,,,,,,,,,,,,,,,,
2023/2/28 17:33,2023/2/28 17:33,Survey Preview,,100,19,TRUE,2023/2/28 17:33,R_1LbzAmYMMXPsP2c,,,,,42.3464,-71.0975,preview,EN,,,,Like,Neutral,,,,,,,,,,,,,,,,,,,,
2023/2/28 17:29,2023/2/28 17:40,Survey Preview,,100,611,TRUE,2023/2/28 17:40,R_2QmObE5WI7HKdoG,,,,,42.3464,-71.0975,preview,EN,,,,Like,Neutral,,,,,,,,,,,,,,,,,,,,
2023/2/28 17:40,2023/2/28 17:41,Survey Preview,,100,19,TRUE,2023/2/28 17:41,R_YSqRFxA6fJTzBHb,,,,,42.3464,-71.0975,preview,EN,,,,Like,Neutral,,,,,,,,,,,,,,,,,,,,
2023/2/28 18:00,2023/2/28 18:00,Survey Preview,,100,21,TRUE,2023/2/28 18:00,R_2DZe55taWHsKvN6,,,,,42.3464,-71.0975,preview,EN,,,,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,
2023/2/28 18:04,2023/2/28 18:04,Survey Preview,,100,15,TRUE,2023/2/28 18:04,R_Ttl60EJHpdE9wzL,,,,,42.1897,-71.2048,preview,EN,,,,Neutral,Like,,,,,,,,,,,,,,,,,,,,
2023/3/1 10:43,2023/3/1 10:43,Survey Preview,,100,42,TRUE,2023/3/1 10:43,R_12lItpmsxuUuoQi,,,,,42.3464,-71.0975,preview,EN,,,,Like,Neutral,,,,,,,,,,,,,,,,,,,,
2023/3/1 20:56,2023/3/1 21:01,Survey Preview,,100,272,TRUE,2023/3/1 21:01,R_stnNwPw2VGXzO8N,,,,,42.3474,-71.1582,preview,EN,,,,Neutral,Like,,,,,,,,,,,,,,,,,,,,
2023/3/2 12:32,2023/3/2 12:32,Survey Preview,,100,10,TRUE,2023/3/2 12:32,R_1jZlXgNWkc90jOe,,,,,42.3464,-71.0975,preview,EN,,,,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,
2023/3/2 12:34,2023/3/2 12:35,Survey Preview,,100,19,TRUE,2023/3/2 12:35,R_2SAZeGKiuKAdSsc,,,,,42.3464,-71.0975,preview,EN,,,,Neutral,Like,,,,,,,,,,,,,,,,,,,,
2023/3/7 22:11,2023/3/7 22:12,IP Address,96.252.71.74,100,45,TRUE,2023/3/7 22:12,R_2wNWX1VIcm0MBeV,,,,,42.1897,-71.2048,anonymous,EN,Male,18-24 years old,Single,Like,Neutral,,,Like,Neutral,,,,,Neutral,Like,,,,,Neutral,Like,Like,Neutral,Like,Neutral
2023/3/7 22:11,2023/3/7 22:13,IP Address,206.71.228.2,100,103,TRUE,2023/3/7 22:13,R_2S2KVxfZLw3QR23,,,,,40.7123,-74.0068,anonymous,EN,Female,18-24 years old,Single,Like,Neutral,,,Like,Neutral,,,,,,,Like,Neutral,Like,Neutral,Neutral,Like,,,,
2023/3/8 7:56,2023/3/8 7:57,IP Address,174.196.201.181,100,54,TRUE,2023/3/8 7:57,R_2EB1NlYTA1TYR2B,,,,,42.3388,-71.0726,anonymous,EN,Female,18-24 years old,Single,Like,Neutral,Neutral,Like,Like,Neutral,,,,,Like,Neutral,Like,Neutral,Like,Neutral,Like,Neutral,,,Like,Neutral
